Signature	SBS1	SBS7a	SBS8	SBS9	SBS17b	SBS18	SBSblood	Signature.Ig
ATG.AGG	0.000268048	0.000276179	0.004769807	0.005329558	0.000989932	0.001991308	0.005326523	0.003864803
ATT.AGT	0.00011202	0.000309201	0.00073997	0.023898016	0.069095261	0.00184121	0.00413967	0.006790825
CTA.CGA	3.55E-05	8.43E-05	0.001219951	0.025997842	0.002049859	0.000111073	0.001770455	0.00294271
CTC.CGC	0.000212038	0.000172112	0.001949921	0.007409385	0.031397847	0.001991308	0.003257808	0.009017799
CTG.CGG	0.000128023	2.23E-16	0.00469981	0.014198821	0.013699061	0.002931926	0.004574848	0.010302449
CTT.CGT	0.00017103	2.65E-05	0.000573977	0.056495311	0.549962284	0.004142722	0.003357901	0.00325619
GTA.GGA	2.23E-16	9.07E-05	0.001309947	0.008299311	0.000280981	0.000870572	0.001877871	0.006067958
GTC.GGC	2.23E-16	0.000121079	0.000655973	0.005849514	0.006249571	3.70E-05	0.00117401	0.001162829
GTG.GGG	0.000348062	0.000325211	0.00396984	0.003969671	0.001479899	0.005833833	0.003233799	0.005048293
GTT.GGT	1.46E-05	0.000835542	0.001289948	0.01939839	0.113992182	0.002141407	0.00254612	0.007231396
TTA.TGA	2.23E-16	0.000128083	2.22E-16	0.065694547	1.22E-05	0.000696458	0.002843832	0.005301346
TTC.TGC	5.51E-05	0.000116075	0.001139954	0.008619285	0.0087494	0.002101381	0.002405402	0.001641205
TTG.TGG	0.000583103	2.23E-16	0.003089875	0.010899095	0.004779672	0.001450953	0.003339568	0.004571038
TTT.TGT	2.23E-16	8.30E-05	0.00099596	0.063894697	0.121991634	0.005163392	0.006095649	0.007449444
